title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
Incrementalizing production codeql analyses,https://dl.acm.org/doi/abs/10.1145/3611643.3613860,"@inproceedings{szabo2023incrementalizing,
  title={Incrementalizing production codeql analyses},
  author={Szab{\'o}, Tam{\'a}s},
  booktitle={Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering},
  pages={1716--1726},
  year={2023}
}",inproceedings,Incrementalizing production codeql analyses,2023,en,1,0,0
Scaling Code Pattern Inference with Interactive What-If Analysis,https://dl.acm.org/doi/abs/10.1145/3597503.3639193,"@inproceedings{kang2024scaling,
  title={Scaling Code Pattern Inference with Interactive What-If Analysis},
  author={Kang, Hong Jin and Wang, Kevin and Kim, Miryung},
  booktitle={Proceedings of the IEEE/ACM 46th International Conference on Software Engineering},
  pages={1--12},
  year={2024}
}",inproceedings,Scaling Code Pattern Inference with Interactive What-If Analysis,2024,en,1,0,0
Automatically inspecting thousands of static bug warnings with large language model: How far are we?,https://dl.acm.org/doi/abs/10.1145/3653718,"@article{wen2024automatically,
  title={Automatically inspecting thousands of static bug warnings with large language model: How far are we?},
  author={Wen, Cheng and Cai, Yuandao and Zhang, Bin and Su, Jie and Xu, Zhiwu and Liu, Dugang and Qin, Shengchao and Ming, Zhong and Cong, Tian},
  journal={ACM Transactions on Knowledge Discovery from Data},
  volume={18},
  number={7},
  pages={1--34},
  year={2024},
  publisher={ACM New York, NY}
}",article,Automatically inspecting thousands of static bug warnings with large language model: How far are we?,2024,en,1,1,0
IntelliSA: An Intelligent Static Analyzer for IaC Security Smell Detection Using Symbolic Rules and Neural Inference,https://arxiv.org/abs/2601.14595,"@article{mei2026intellisa,
  title={IntelliSA: An Intelligent Static Analyzer for IaC Security Smell Detection Using Symbolic Rules and Neural Inference},
  author={Mei, Qiyue and Fu, Michael},
  journal={arXiv preprint arXiv:2601.14595},
  year={2026}
}",article,IntelliSA: An Intelligent Static Analyzer for IaC Security Smell Detection Using Symbolic Rules and Neural Inference,2026,en,1,0,0
Coordinated vulnerability disclosure programme effectiveness: Issues and recommendations,https://www.sciencedirect.com/science/article/pii/S0167404822003285,"@article{walshe2022coordinated,
  title={Coordinated vulnerability disclosure programme effectiveness: Issues and recommendations},
  author={Walshe, Thomas and Simpson, Andrew C},
  journal={Computers \& Security},
  volume={123},
  pages={102936},
  year={2022},
  publisher={Elsevier}
}",article,Coordinated vulnerability disclosure programme effectiveness: Issues and recommendations,2022,en,0,,
Modern code reviewsâsurvey of literature and practice,https://dl.acm.org/doi/abs/10.1145/3585004,"@article{badampudi2023modern,
  title={Modern code reviewsâsurvey of literature and practice},
  author={Badampudi, Deepika and Unterkalmsteiner, Michael and Britto, Ricardo},
  journal={ACM Transactions on Software Engineering and Methodology},
  volume={32},
  number={4},
  pages={1--61},
  year={2023},
  publisher={ACM New York, NY, USA}
}",article,Modern code reviewsâsurvey of literature and practice,2023,en,0,,
A Systematic Study of Code Obfuscation Against LLM-based Vulnerability Detection,https://arxiv.org/abs/2512.16538,"@article{li2025systematic,
  title={A Systematic Study of Code Obfuscation Against LLM-based Vulnerability Detection},
  author={Li, Xiao and Li, Yue and Wu, Hao and Zhang, Yue and Zhang, Yechao and Xu, Fengyuan and Zhong, Sheng},
  journal={arXiv preprint arXiv:2512.16538},
  year={2025}
}",article,A Systematic Study of Code Obfuscation Against LLM-based Vulnerability Detection,2025,en,0,,
"A survey of automatic software vulnerability detection, program repair, and defect prediction techniques",https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/8858010,"@article{shen2020survey,
  title={A survey of automatic software vulnerability detection, program repair, and defect prediction techniques},
  author={Shen, Zhidong and Chen, Si},
  journal={Security and Communication Networks},
  volume={2020},
  number={1},
  pages={8858010},
  year={2020},
  publisher={Wiley Online Library}
}",article,"A survey of automatic software vulnerability detection, program repair, and defect prediction techniques",2020,en,0,,
Causative Insights into Open Source Software Security using Large Language Code Embeddings and Semantic Vulnerability Graph,https://arxiv.org/abs/2401.07035,"@article{islam2024causative,
  title={Causative Insights into Open Source Software Security using Large Language Code Embeddings and Semantic Vulnerability Graph},
  author={Islam, Nafis Tanveer and Parra, Gonzalo De La Torre and Manual, Dylan and Jadliwala, Murtuza and Najafirad, Peyman},
  journal={arXiv preprint arXiv:2401.07035},
  year={2024}
}",article,Causative Insights into Open Source Software Security using Large Language Code Embeddings and Semantic Vulnerability Graph,2024,en,1,0,0
Would static analysis tools help developers with code reviews?,https://ieeexplore.ieee.org/abstract/document/7081826/,"@inproceedings{panichella2015would,
  title={Would static analysis tools help developers with code reviews?},
  author={Panichella, Sebastiano and Arnaoudova, Venera and Di Penta, Massimiliano and Antoniol, Giuliano},
  booktitle={2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)},
  pages={161--170},
  year={2015},
  organization={IEEE}
}",inproceedings,Would static analysis tools help developers with code reviews?,2015,en,1,1,0
A review on javascript engine vulnerability mining,https://iopscience.iop.org/article/10.1088/1742-6596/1744/4/042197/meta,"@inproceedings{kang2021review,
  title={A review on javascript engine vulnerability mining},
  author={Kang, Zeyan},
  booktitle={Journal of Physics: Conference Series},
  volume={1744},
  number={4},
  pages={042197},
  year={2021},
  organization={IOP Publishing}
}",inproceedings,A review on javascript engine vulnerability mining,2021,en,0,,
Sast tools and manual testing to improve the methodology of vulnerability detection in web applications,https://ijeit.misuratau.edu.ly/index.php/ijeit/article/view/480,"@article{elrowayati2024sast,
  title={Sast tools and manual testing to improve the methodology of vulnerability detection in web applications},
  author={Elrowayati, Ali and Fadeel, Ammar},
  journal={The International Journal of Engineering \& Information Technology (IJEIT)},
  volume={12},
  number={1},
  pages={79--83},
  year={2024}
}",article,Sast tools and manual testing to improve the methodology of vulnerability detection in web applications,2024,en,0,,
Vuldigger: A just-in-time and cost-aware tool for digging vulnerability-contributing changes,https://ieeexplore.ieee.org/abstract/document/8254428/,"@inproceedings{yang2017vuldigger,
  title={Vuldigger: A just-in-time and cost-aware tool for digging vulnerability-contributing changes},
  author={Yang, Limin and Li, Xiangxue and Yu, Yu},
  booktitle={GLOBECOM 2017-2017 IEEE Global Communications Conference},
  pages={1--7},
  year={2017},
  organization={IEEE}
}",inproceedings,Vuldigger: A just-in-time and cost-aware tool for digging vulnerability-contributing changes,2017,en,1,1,0
Towards Task-Harmonious Vulnerability Assessment Based on LLM,https://ieeexplore.ieee.org/abstract/document/11025866/,"@inproceedings{zhang2025towards,
  title={Towards Task-Harmonious Vulnerability Assessment Based on LLM},
  author={Zhang, Zaixing and Chang, Jianming and Hu, Tianyuan and Wang, Lulu and Li, Bixin},
  booktitle={2025 IEEE/ACM 33rd International Conference on Program Comprehension (ICPC)},
  pages={49--59},
  year={2025},
  organization={IEEE}
}",inproceedings,Towards Task-Harmonious Vulnerability Assessment Based on LLM,2025,en,1,0,0
Vulnerability analysis of desktop 3D printer software,https://ieeexplore.ieee.org/abstract/document/7573305/,"@inproceedings{moore2016vulnerability,
  title={Vulnerability analysis of desktop 3D printer software},
  author={Moore, Samuel and Armstrong, Phillip and McDonald, Todd and Yampolskiy, Mark},
  booktitle={2016 Resilience Week (RWS)},
  pages={46--51},
  year={2016},
  organization={IEEE}
}",inproceedings,Vulnerability analysis of desktop 3D printer software,2016,en,0,,
Improving Software Security: A Multi-modal Framework for Vulnerability Detection Using Code Simplification and Meta-Learning,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5406286,"@article{ju5406286improving,
  title={Improving Software Security: A Multi-modal Framework for Vulnerability Detection Using Code Simplification and Meta-Learning},
  author={JU, Xiaolin and Cao, Yi and Cao, Heling and Chen, Xiang and Gong, Lina and Gao, Zhan},
  journal={Available at SSRN 5406286}
}",article,Improving Software Security: A Multi-modal Framework for Vulnerability Detection Using Code Simplification and Meta-Learning,,en,1,0,0
RevToken: A Token-Level Review Recommendation: How Far Are We?,https://ieeexplore.ieee.org/abstract/document/10795052/,"@inproceedings{morikawa2024revtoken,
  title={RevToken: A Token-Level Review Recommendation: How Far Are We?},
  author={Morikawa, Yasuhito and Kashiwa, Yutaro and Fujiwara, Kenji and Iida, Hajimu},
  booktitle={2024 IEEE International Conference on Software Maintenance and Evolution (ICSME)},
  pages={654--659},
  year={2024},
  organization={IEEE}
}",inproceedings,RevToken: A Token-Level Review Recommendation: How Far Are We?,2024,en,1,1,0
Understanding Code Understandability Improvements in Code Reviews,https://ieeexplore.ieee.org/abstract/document/10670481/,"@article{oliveira2024understanding,
  title={Understanding Code Understandability Improvements in Code Reviews},
  author={Oliveira, Delano and Santos, Reydne and De Oliveira, Benedito and Monperrus, Martin and Castor, Fernando and Madeiral, Fernanda},
  journal={IEEE Transactions on Software Engineering},
  year={2024},
  publisher={IEEE}
}",article,Understanding Code Understandability Improvements in Code Reviews,2024,en,1,1,0
Technical debt in pull requests: insights from static code analysis and human reviews.,https://dspace.sti.ufcg.edu.br/handle/riufcg/43638,"@article{calixto2025technical,
  title={Technical debt in pull requests: insights from static code analysis and human reviews.},
  author={CALIXTO, Felipe Emerson de Oliveira and others},
  year={2025},
  publisher={Universidade Federal de Campina Grande}
}",article,Technical debt in pull requests: insights from static code analysis and human reviews.,2025,en,0,,
Vulnerability Detection in Popular Programming Languages with Language Models,https://arxiv.org/abs/2412.15905,"@article{atiiq2024vulnerability,
  title={Vulnerability Detection in Popular Programming Languages with Language Models},
  author={Atiiq, Syafiq Al and Gehrmann, Christian and Dahl{\'e}n, Kevin},
  journal={arXiv preprint arXiv:2412.15905},
  year={2024}
}",article,Vulnerability Detection in Popular Programming Languages with Language Models,2024,en,0,,
CFCEval: Evaluating Security Aspects in Code Generated by Large Language Models,https://ieeexplore.ieee.org/abstract/document/11334695/,"@inproceedings{cheng2025cfceval,
  title={CFCEval: Evaluating Security Aspects in Code Generated by Large Language Models},
  author={Cheng, Cheng and Yang, Jinqiu},
  booktitle={2025 2nd IEEE/ACM International Conference on AI-powered Software (AIware)},
  pages={01--10},
  year={2025},
  organization={IEEE}
}",inproceedings,CFCEval: Evaluating Security Aspects in Code Generated by Large Language Models,2025,en,1,0,0
Method of statistical analysis of software code based on complex parameters,https://ieeexplore.ieee.org/abstract/document/11122184/,"@inproceedings{prokofiev2024method,
  title={Method of statistical analysis of software code based on complex parameters},
  author={Prokofiev, Ihor and Savenko, Oleg},
  booktitle={2024 14th International Conference on Dependable Systems, Services and Technologies (DESSERT)},
  pages={1--7},
  year={2024},
  organization={IEEE}
}",inproceedings,Method of statistical analysis of software code based on complex parameters,2024,en,0,,
Modern code reviews-preliminary results of a systematic mapping study,https://dl.acm.org/doi/abs/10.1145/3319008.3319354,"@inproceedings{badampudi2019modern,
  title={Modern code reviews-preliminary results of a systematic mapping study},
  author={Badampudi, Deepika and Britto, Ricardo and Unterkalmsteiner, Michael},
  booktitle={Proceedings of the 23rd International Conference on Evaluation and Assessment in Software Engineering},
  pages={340--345},
  year={2019}
}",inproceedings,Modern code reviews-preliminary results of a systematic mapping study,2019,en,0,,
Managing Code Evolution: Refactoring Challenges in Kattis' Code Judge,https://odr.chalmers.se/server/api/core/bitstreams/e8cbef6d-2d34-4bd1-95c8-fdd740dd022d/content,"@article{andersson2025managing,
  title={Managing Code Evolution: Refactoring Challenges in Kattisâ Code Judge},
  author={Andersson, Joshua and Gilabert, Alexander and Hulthe, Rasmus and S{\""o}derbergh, Hugo},
  year={2025}
}",article,Managing Code Evolution: Refactoring Challenges in Kattisâ Code Judge,2025,en,1,1,0
